Key,xTSNE,yTSNE
respiratory therapy,32.59254,-2.6479461
hair styling,29.591131,-23.179237
office supply ordering,8.370866,-20.433811
medicare/medicaid knowledge,24.884172,-27.060707
microsoft sql server integration services (ssis),-37.73572,-4.875881
data science,-51.687794,-28.578276
budget management,1.1198196,-15.228926
consumer electronics,-11.301254,18.137589
contract administration,2.6186302,-18.504807
restaurant experience,11.486294,-17.476017
content development,-27.276527,-27.804739
service improvement,2.0959377,-8.046516
microbiology,37.70524,18.882578
current good manufacturing practices (cgmp),35.36253,27.001095
css,-47.846283,-13.915909
surgical services,33.096176,-3.188053
ad hoc reporting,-0.750189,-24.94398
user acceptance testing (uat),-30.970764,0.88770914
product location,10.787765,1.1967171
content management systems (cms),-29.428331,-26.866215
wealth management,-7.020915,-42.271122
intellectual property,11.400338,-30.60467
data architecture,-37.893723,-6.3077984
eclipse,-48.566322,-8.368521
engineering documentation,-6.24004,27.954704
neurology,36.721592,-6.0046287
injections,26.686382,-0.13964683
cryptography,-52.080944,13.526628
ventilation,-1.1696714,41.175426
network infrastructure (edge poe devices),-43.301308,17.608957
extensible stylesheet language xsl,-46.335262,-7.7270074
weblogic,-47.693035,-5.2467647
computer installation and setup,-39.10957,13.854737
toileting,21.209795,-2.1239457
people development,-0.4565845,-12.562408
developmental disabilities,22.255905,-14.83531
environmental health and safety,11.695786,33.11949
technical sales,-12.012659,-18.32446
requirements analysis,-30.932207,4.8159857
electronics industry knowledge,-10.567553,35.147583
variance analysis,-0.47238335,-26.603748
full life cycle,-32.34298,-5.1677866
automotive industry knowledge,-5.168547,14.273851
accounting software,2.6522715,-26.711882
computer aided drafting/design (cad),-6.9273076,29.780699
patient flow,26.629679,-3.3838084
communicable disease knowledge,22.295263,-5.4285817
geometry,4.1710835,-2.5470657
data transformation,-37.320343,-5.8284316
professional engineer,8.189011,41.65808
waterfall,-42.313873,-7.687428
dynamic host configuration protocol (dhcp),-45.02201,11.444131
goal setting,3.3716848,-10.272717
diabetes diagnosis / treatment,38.152874,-10.657553
engineering support,-5.9988003,28.298874
renovation,2.9709294,42.160007
process management,-0.71657395,-10.998631
electronic data interchange,-33.093506,-1.4433239
financial modeling,-1.9743166,-26.715153
direct marketing,-18.02092,-31.54206
succession planning,9.808163,-39.50794
bank secrecy act (bsa),-1.9887314,-46.06848
marketing programs,-17.009203,-27.279531
sterile procedures / techniques,29.961903,3.551043
bash,-47.77534,2.090036
shipping,7.8485513,10.681675
accruals,1.8452272,-26.905607
organizational development,9.652407,-38.918953
orthopedics,36.971733,-4.6937566
invoice preparation,5.356556,-23.937881
financial controls,2.24126,-15.265464
enterprise software,-30.828478,-14.339307
interior design,5.3223977,20.952747
engineering drawings,-7.2358665,29.101627
systems management,-41.794876,8.788788
automated testing,-54.098534,0.046100404
micrometers,-11.341177,43.90582
training activities,4.830233,-7.638107
risk and mitigation analysis,3.682735,-14.796753
sales leadership,-11.377792,-24.227081
unified modeling language (uml),-44.693928,-7.13605
health education,27.816545,-9.94174
marketing strategy development,-16.321043,-26.829754
hazardous waste,11.126776,34.88114
geriatrics,27.510582,-6.689266
financial responsibility,4.0420895,-12.989568
lathes,-11.296797,44.582672
pricing strategy,-12.666431,-25.675406
process control,-3.8782556,24.10504
cabling,-39.688698,19.139847
firmware,-24.226603,24.871445
software quality assurance,-53.2908,-0.17021748
receiving,11.0862055,-4.2893214
crystal reports,-36.759087,-3.9576793
solidworks,-8.763354,27.575588
metadata,-38.220894,-6.1678066
